TimeCasa;GolCasa;GolVisitante;TimeVisitante
flamengo;1;1;atleticoMg
corinthians;1;1;chapecoense
fluminense;3;2;santos
palmeiras;4;0;vaco
cruzeiro;1;0;sao paulo
bahia;6;2;athleticoPr
ponte preta;4;0;sport
avai;0;0;vitoria
gremio;2;0;botafogo
coritiba;4;1;atleticoGo
santos;1;0;coritiba
chapecoense;1;0;palmeiras
atleticoGo;0;3;flamengo
vaco;2;1;bahia
atleticoMg;1;2;fluminense
athleticoPr;0;2;gremio
vitoria;0;1;corinthians
botafogo;2;0;ponte preta
sport;1;1;cruzeiro
sao paulo;2;0;avai
vaco;3;2;fluminense
sao paulo;2;0;palmeiras
vitoria;0;1;coritiba
atleticoMg;2;2;ponte preta
athleticoPr;1;1;flamengo
santos;0;1;cruzeiro
atleticoGo;0;1;corinthians
sport;4;3;gremio
botafogo;1;0;bahia
chapecoense;2;0;avai
coritiba;1;0;athleticoPr
fluminense;2;1;vitoria
corinthians;2;0;santos
flamengo;0;0;botafogo
avai;1;0;sport
ponte preta;1;0;sao paulo
palmeiras;0;0;atleticoMg
gremio;2;0;vaco
cruzeiro;0;2;chapecoense
bahia;3;0;atleticoGo
fluminense;1;1;athleticoPr
atleticoMg;1;0;avai
coritiba;1;0;palmeiras
santos;1;0;botafogo
vaco;2;5;corinthians
sport;2;0;flamengo
atleticoGo;3;0;ponte preta
sao paulo;2;0;vitoria
chapecoense;3;6;gremio
bahia;1;0;cruzeiro
palmeiras;3;1;fluminense
vaco;2;1;sport
botafogo;2;2;coritiba
corinthians;3;2;sao paulo
vitoria;2;0;atleticoMg
ponte preta;3;2;chapecoense
avai;1;1;flamengo
cruzeiro;2;0;atleticoGo
athleticoPr;0;2;santos
gremio;1;0;bahia
atleticoMg;0;1;athleticoPr
sport;0;0;sao paulo
vitoria;2;2;botafogo
atleticoGo;3;1;avai
flamengo;2;0;ponte preta
santos;1;0;palmeiras
corinthians;1;0;cruzeiro
chapecoense;2;1;vaco
coritiba;0;0;bahia
fluminense;0;2;gremio
atleticoGo;0;1;athleticoPr
vaco;1;0;avai
santos;0;0;ponte preta
coritiba;0;0;corinthians
bahia;2;4;palmeiras
chapecoense;0;2;botafogo
sao paulo;1;2;atleticoMg
fluminense;2;2;flamengo
sport;1;3;vitoria
cruzeiro;3;3;gremio
vitoria;0;2;santos
palmeiras;1;0;atleticoGo
botafogo;3;1;vaco
atleticoMg;2;2;sport
athleticoPr;1;0;sao paulo
avai;0;3;fluminense
ponte preta;1;0;cruzeiro
corinthians;3;0;bahia
gremio;2;0;coritiba
flamengo;5;1;chapecoense
santos;0;1;sport
vaco;1;0;atleticoGo
ponte preta;1;2;palmeiras
sao paulo;1;1;fluminense
cruzeiro;2;0;coritiba
athleticoPr;4;1;vitoria
gremio;0;1;corinthians
bahia;0;1;flamengo
chapecoense;0;1;atleticoMg
botafogo;0;2;avai
palmeiras;1;0;gremio
atleticoGo;1;1;santos
sport;1;0;athleticoPr
vitoria;0;0;bahia
corinthians;1;0;botafogo
atleticoMg;3;1;cruzeiro
flamengo;2;0;sao paulo
coritiba;2;2;vaco
avai;0;0;ponte preta
fluminense;3;3;chapecoense
atleticoGo;1;2;vitoria
vaco;0;1;flamengo
corinthians;2;0;ponte preta
chapecoense;1;1;athleticoPr
cruzeiro;3;1;palmeiras
gremio;0;2;avai
bahia;1;1;fluminense
santos;3;2;sao paulo
botafogo;1;1;atleticoMg
coritiba;0;3;sport
atleticoMg;0;1;santos
ponte preta;0;3;bahia
fluminense;0;1;botafogo
athleticoPr;0;2;cruzeiro
palmeiras;0;2;corinthians
vitoria;1;4;vaco
sao paulo;2;2;atleticoGo
sport;3;0;chapecoense
flamengo;0;1;gremio
avai;1;4;coritiba
corinthians;2;2;athleticoPr
palmeiras;4;2;vitoria
gremio;3;1;ponte preta
cruzeiro;1;1;flamengo
vaco;0;0;santos
atleticoGo;1;2;atleticoMg
chapecoense;2;0;sao paulo
coritiba;1;2;fluminense
bahia;1;1;avai
botafogo;2;1;sport
santos;1;0;chapecoense
vitoria;1;3;gremio
ponte preta;4;0;coritiba
avai;0;0;corinthians
sao paulo;1;0;vaco
